COLONIA,Geo Point,ALCALDIA
DOLORES TLALI,"19.2417972938,-99.1458034749",TLALPAN
EL ZACATON,"19.2675801538,-99.2427997424",TLALPAN
HUESO PERIFERICO-ISSSFAM NO. 7 (U HABS),"19.2972744078,-99.1025297425",TLALPAN
LINDAVISTA II,"19.4999583159,-99.1358145927",GUSTAVO A. MADERO
SAN JUAN DE ARAGON 3A SECCION (U HAB) II,"19.4514910636,-99.069141496",GUSTAVO A. MADERO
VALLEJO II,"19.4654691589,-99.1282828038",GUSTAVO A. MADERO
RESIDENCIAL ZACATENCO,"19.5013047233,-99.1232946574",GUSTAVO A. MADERO
ROSAS DEL TEPEYAC,"19.4906943129,-99.1146705607",GUSTAVO A. MADERO
QUETZALCOATL 3,"19.5589645617,-99.1416450564",GUSTAVO A. MADERO
PALMATITLA,"19.5519496714,-99.1325674134",GUSTAVO A. MADERO
NUEVA INDUSTRIAL VALLEJO (FRACC),"19.5107957566,-99.1531203934",GUSTAVO A. MADERO
PLAZA ORIENTE (RDCIAL),"19.4851754481,-99.0930199368",GUSTAVO A. MADERO
LOS OLIVOS (U HAB),"19.4731131144,-99.0816473557",GUSTAVO A. MADERO
SAN LORENZO LA CEBADA II,"19.2795191326,-99.1205933391",XOCHIMILCO
SANTA INES,"19.2339072969,-99.1144230374",XOCHIMILCO
SANTA CECILIA TEPETLAPA (PBLO),"19.212485509,-99.0860833173",XOCHIMILCO
OLIVAR SANTA MARIA,"19.2436124974,-99.0091478001",XOCHIMILCO
SAN CRISTOBAL (BARR),"19.2596316966,-99.0982330154",XOCHIMILCO
SANTA CRUZ CHAVARRIETA,"19.2260813739,-99.1225387871",XOCHIMILCO
LA CEBADA,"19.2772724734,-99.1231065823",XOCHIMILCO
SAN MIGUEL TOPILEJO (PBLO),"19.1963273832,-99.1579184481",TLALPAN
TORIELLO GUERRA,"19.294868739,-99.1644891994",TLALPAN
VIVEROS DE COACTETLAN,"19.2431272306,-99.1528886664",TLALPAN
PEDREGAL DE SN NICOLAS 4A SECC I,"19.2775082687,-99.2395881516",TLALPAN
LOMAS DE TEPEMECATL,"19.2379800806,-99.23201652",TLALPAN
EL ROSARIO (BARR),"19.2626271997,-99.1045121949",XOCHIMILCO
BOSQUE RESIDENCIAL DEL SUR (FRACC),"19.2806664114,-99.1299640812",XOCHIMILCO
LA LAGUNA TICOMAN (BARR),"19.51287742,-99.1295965159",GUSTAVO A. MADERO
GUADALUPE INSURGENTES,"19.4744043775,-99.1322655068",GUSTAVO A. MADERO
JUVENTINO ROSAS,"19.5627597095,-99.1346987595",GUSTAVO A. MADERO
LA FORESTAL 1,"19.5676192797,-99.1280183646",GUSTAVO A. MADERO
LA PALMA,"19.2492689764,-99.1572413472",TLALPAN
MOVIMIENTO ORGANIZADO DE TLALPAN-EL MIRADOR (RNCDA),"19.2668500407,-99.152810876",TLALPAN
LA  LONJA,"19.2913252426,-99.1803049404",TLALPAN
LOMAS HIDALGO,"19.2744291633,-99.2150183291",TLALPAN
AMPLIACION RAMOS MILLAN,"19.3872730713,-99.0967097977",IZTACALCO
TLATILCO (U HAB),"19.4628730766,-99.1638237153",AZCAPOTZALCO
CUITLAHUAC,"19.2640975664,-99.0173734722",TLAHUAC
EL ROSARIO,"19.2398475294,-99.0077676188",TLAHUAC
GRANJAS MEXICO I,"19.4024890651,-99.1050591862",IZTACALCO
VIADUCTO PIEDAD,"19.4012229882,-99.1311554387",IZTACALCO
PANTITLAN III,"19.4106675048,-99.0719494846",IZTACALCO
JUVENTINO ROSAS I,"19.392437819,-99.1106746352",IZTACALCO
AGRICOLA ORIENTAL VI,"19.3954613043,-99.0623951562",IZTACALCO
CEDRO CHICO,"19.353376758,-99.25805325",ALVARO OBREGON
LOS REYES (BARR),"19.4854471185,-99.1834165621",AZCAPOTZALCO
JARDIN AZPEITIA,"19.473058595,-99.1743521958",AZCAPOTZALCO
FERRERIA,"19.5032875621,-99.1745777234",AZCAPOTZALCO
GARCIMARRERO NORTE,"19.3681037568,-99.2397165565",ALVARO OBREGON
JARDINES DEL PEDREGAL,"19.3197415813,-99.2074193222",ALVARO OBREGON
HOGAR Y REDENCION,"19.3692221029,-99.2135502484",ALVARO OBREGON
ISIDRO FABELA,"19.3862835131,-99.2089819526",ALVARO OBREGON
ESTADO DE HIDALGO,"19.3996792749,-99.2065872086",ALVARO OBREGON
LOMAS DE PUERTA GRANDE,"19.3544654739,-99.2298045123",ALVARO OBREGON
LOMAS DE SANTO DOMINGO (AMPL),"19.3942867597,-99.2022832937",ALVARO OBREGON
METROPOLITANO (U HAB),"19.3604002285,-99.2183068464",ALVARO OBREGON
LORETO,"19.340780261,-99.1925813836",ALVARO OBREGON
OLIVAR DEL CONDE 1RA SECCION I,"19.3751601613,-99.2047502648",ALVARO OBREGON
BELEN DE LAS FLORES_,"19.3554965851,-99.2337123156",ALVARO OBREGON
PROGRESO TIZAPAN,"19.3398979151,-99.2046659533",ALVARO OBREGON
POLVORA,"19.3915923904,-99.20421185",ALVARO OBREGON
TLACOYAQUE (BARR),"19.3238697254,-99.2662409033",ALVARO OBREGON
MOLINO DE SANTO DOMINGO (U HAB),"19.3933731545,-99.2035328131",ALVARO OBREGON
PASEOS DE CHURUBUSCO,"19.3807295802,-99.0869061508",IZTAPALAPA
JARDINES DE SAN LORENZO,"19.2953561654,-99.073882538",IZTAPALAPA
RICARDO FLORES MAGON,"19.3539155828,-99.0979742579",IZTAPALAPA
APATLACO,"19.3802272271,-99.1160378015",IZTAPALAPA
EJTO DE OTE II (U HAB),"19.3819609118,-99.035463276",IZTAPALAPA
EL PRADO,"19.3578241921,-99.1359565722",IZTAPALAPA
GAMA GAVILAN (U HAB),"19.3603184376,-99.0794344365",IZTAPALAPA
GRANJAS ESTRELLA III,"19.3284734976,-99.0830068123",IZTAPALAPA
SAN ANDRES TETEPILCO (PBLO),"19.3710489509,-99.1316067715",IZTAPALAPA
SAN FRANCISCO APOLOCALCO,"19.327728631,-98.9669075065",IZTAPALAPA
SAN LORENZO TEZONCO I (U HAB),"19.3366805487,-99.0727208026",IZTAPALAPA
SAN LORENZO TEZONCO II (U HAB),"19.3345617926,-99.0675161075",IZTAPALAPA
SAN SIMON CULHUACAN (BARR),"19.3344868101,-99.1059324728",IZTAPALAPA
VICENTE GUERRERO SUPER MANZANA 5 (U HAB),"19.3549321458,-99.0514358704",IZTAPALAPA
CONSEJO AGRARISTA MEXICANO II,"19.3271003748,-99.054576823",IZTAPALAPA
LOMAS ESTRELLA 2A SECC I,"19.3174526548,-99.0881758514",IZTAPALAPA
SAN MIGUEL TEOTONGO I,"19.3510686092,-98.9913047291",IZTAPALAPA
SAN MIGUEL TEOTONGO III,"19.3410332116,-98.9873101881",IZTAPALAPA
TEPALCATES I,"19.389919008,-99.052574619",IZTAPALAPA
VALLE DE SAN LORENZO II,"19.3015002516,-99.0785767559",IZTAPALAPA
XALPA II,"19.3437032645,-99.0145517798",IZTAPALAPA
ROTARIOS (U HAB),"19.3869301851,-99.0406991627",IZTAPALAPA
CHINAMPAC DE JUAREZ III,"19.3736546643,-99.0545709473",IZTAPALAPA
LA CONCEPCION,"19.3031779561,-99.2348552712",LA MAGDALENA CONTRERAS
LAS HUERTAS,"19.295661722,-99.2373797699",LA MAGDALENA CONTRERAS
LAS PALMAS,"19.3135040512,-99.2504272277",LA MAGDALENA CONTRERAS
LOMAS QUEBRADAS,"19.3152774944,-99.2406158624",LA MAGDALENA CONTRERAS
PEDREGAL 2 (CONJ HAB),"19.3074313161,-99.2289741391",LA MAGDALENA CONTRERAS
SANTA TERESA,"19.3101078862,-99.2276219256",LA MAGDALENA CONTRERAS
TIERRA UNIDA,"19.3036533493,-99.2687326723",LA MAGDALENA CONTRERAS
ZACAHUITZCO,"19.3732090388,-99.1387560374",BENITO JUAREZ
ANZURES,"19.4314355481,-99.1780026133",MIGUEL HIDALGO
CUAUHTEMOC PENSIL,"19.4449704818,-99.1938426301",MIGUEL HIDALGO
GRANADA (AMPL),"19.4431399378,-99.2008233746",MIGUEL HIDALGO
LOMAS VIRREYES (LOMAS DE CHAPULTEPEC),"19.415063017,-99.2132479263",MIGUEL HIDALGO
PERIODISTA,"19.4486064484,-99.2187181385",MIGUEL HIDALGO
CTM VII CULHUACAN (U HAB),"19.324889164,-99.1088011674",COYOACAN
CTM VIIA CULHUACAN (U HAB),"19.3192213443,-99.105274925",COYOACAN
PEDREGAL DE SAN ANGEL (AMPL),"19.3071684546,-99.1975159368",COYOACAN
RANCHO EL ROSARIO,"19.3281766418,-99.1435335993",COYOACAN
ROMERO DE TERREROS,"19.3412955996,-99.1704500992",COYOACAN
PEDREGAL DE SANTA URSULA II,"19.3084566595,-99.1501731178",COYOACAN
PEDREGAL DE SANTA URSULA III,"19.309400876,-99.1567192569",COYOACAN
PEDREGAL DE STO DOMINGO V,"19.3255676419,-99.1670118328",COYOACAN
PEDREGAL DE STO DOMINGO IX,"19.3298486826,-99.171667851",COYOACAN
CARACOL,"19.4262225574,-99.0696022156",VENUSTIANO CARRANZA
DAMIAN CARMONA,"19.4429260361,-99.1030877838",VENUSTIANO CARRANZA
POPULAR RASTRO,"19.4528213358,-99.1187422961",VENUSTIANO CARRANZA
SIMON  BOLIVAR,"19.4487590273,-99.0978039361",VENUSTIANO CARRANZA
20 DE NOVIEMBRE,"19.4442684985,-99.1089960692",VENUSTIANO CARRANZA
7 DE JULIO (AMPL),"19.4314356901,-99.1097998206",VENUSTIANO CARRANZA
MOCTEZUMA 2A SECCION I,"19.4368906727,-99.0937850965",VENUSTIANO CARRANZA
EL COYOL (U HAB),"19.4869946795,-99.0904388406",GUSTAVO A. MADERO
LOMA DE LA PALMA,"19.5511569263,-99.1447522594",GUSTAVO A. MADERO
PROVIDENCIA (AMPL),"19.4785870655,-99.0700009184",GUSTAVO A. MADERO
INDECO (U HAB),"19.4734613402,-99.0897840672",GUSTAVO A. MADERO
JOSE MARIA MORELOS Y PAVON II (U HAB),"19.479588136,-99.0916367825",GUSTAVO A. MADERO
LA ESMERALDA I,"19.4864622062,-99.0873457911",GUSTAVO A. MADERO
SAN LUIS TLAXIALTEMALCO (PBLO),"19.2544188803,-99.0362633243",XOCHIMILCO
AZTLAN-APACHES (U HAB),"19.2872996702,-99.1060699823",XOCHIMILCO
SAN LORENZO TLACOYUCAN (PBLO),"19.1752495674,-99.0307832925",MILPA ALTA
JOYAS VALLEJO (U HAB),"19.5298021303,-99.1727695104",GUSTAVO A. MADERO
CHALMA DE GUADALUPE II,"19.5501947021,-99.1553522014",GUSTAVO A. MADERO
15 DE AGOSTO,"19.4845740403,-99.1079568789",GUSTAVO A. MADERO
SAN DIEGO (BARR),"19.2638773403,-99.0999912772",XOCHIMILCO
LA TORTUGA XOLALPA-HCO COLEGIO MILITAR,"19.2573364426,-99.1507435776",TLALPAN
JARDINES DE SAN JUAN,"19.2115435456,-99.1863727368",TLALPAN
FUENTES Y PEDREGAL DE TEPEPAN,"19.2701801068,-99.1491708225",TLALPAN
HEROES DE 1910,"19.2482675185,-99.2324635363",TLALPAN
PARQUES DEL PEDREGAL,"19.2998679547,-99.1919023785",TLALPAN
PARAJE 38,"19.2652091347,-99.2084111692",TLALPAN
EL ARENAL,"19.2071084029,-99.1381885162",TLALPAN
CRUZ DEL FAROL,"19.2690733732,-99.2096118696",TLALPAN
BOSQUE DE TEPEXIMILPA,"19.2767792362,-99.1902865262",TLALPAN
SANTIAGO ATZACOALCO (PBLO),"19.4970021695,-99.0967828846",GUSTAVO A. MADERO
TEPEYAC INSURGENTES,"19.4843024643,-99.1218827414",GUSTAVO A. MADERO
VALLE DEL TEPEYAC,"19.4879680618,-99.1415731272",GUSTAVO A. MADERO
SAN MIGUEL-LA ESCALERA (BARR),"19.4716531435,-99.0893244282",GUSTAVO A. MADERO
TEZONTITLA,"19.2104710213,-99.1518626029",TLALPAN
VALLE DE TEPEPAN,"19.2722485666,-99.1455578453",TLALPAN
VISTAS DEL PEDREGAL,"19.2722871824,-99.2347364424",TLALPAN
TEPETONGO,"19.2709004805,-99.1885141376",TLALPAN
PEA ALTA,"19.2324585779,-99.0049066598",TLAHUAC
EMILIANO ZAPATA 2A,"19.2042317695,-98.9694428486",TLAHUAC
EL TRIANGULO,"19.2875798338,-99.0217792769",TLAHUAC
LA NOPALERA,"19.2980780163,-99.0531172149",TLAHUAC
ALCANTARILLA,"19.3392278796,-99.2456230534",ALVARO OBREGON
TEZOZOMOC,"19.489479925,-99.1981532439",AZCAPOTZALCO
ALPES (AMPL),"19.3564804634,-99.2100471303",ALVARO OBREGON
XOCHINAHUAC (U HAB),"19.5076933697,-99.1941795738",AZCAPOTZALCO
PROVIDENCIA,"19.4906621044,-99.2117642234",AZCAPOTZALCO
PASTEROS,"19.4944056739,-99.1957966932",AZCAPOTZALCO
IGNACIO ALLENDE,"19.4669949813,-99.1618924282",AZCAPOTZALCO
DEL GAS,"19.4703443076,-99.157822515",AZCAPOTZALCO
