COLONIA,Geo Point,ALCALDIA
SAN PEDRO (BARR),"19.2568632116,-99.1083580587",XOCHIMILCO
LA CONCEPCION TLACOAPA (BARR),"19.2690838846,-99.1045080251",XOCHIMILCO
SAN LORENZO LA CEBADA I,"19.2850702639,-99.1191010693",XOCHIMILCO
PASEOS DEL SUR,"19.2749251617,-99.1238823772",XOCHIMILCO
LOS CERRILLOS I,,XOCHIMILCO
COLINAS DEL BOSQUE-LAS TORTOLAS,"19.2782175026,-99.1494439361",TLALPAN
LA FAMA,"19.290834571,-99.1766749612",TLALPAN
EJIDOS DE SAN PEDRO MARTIR I (NORTE),"19.2720937767,-99.1569650754",TLALPAN
PEDREGAL DE STA URSULA XITLA,"19.2737448897,-99.1780174378",TLALPAN
RANCHO LOS COLORINES (FRACC),"19.2881849987,-99.1377765348",TLALPAN
VALLE ESCONDIDO,"19.2779096952,-99.1447267774",TLALPAN
CERRO GRANDE,"19.2389720375,-99.1177698469",XOCHIMILCO
BELEM (BARR),"19.2600108432,-99.1022426357",XOCHIMILCO
TETENCO (PJE),"19.2629289514,-99.1795182286",TLALPAN
TLALPEXCO,"19.5462012579,-99.1260004578",GUSTAVO A. MADERO
SAN BARTOLO ATEPEHUACAN (PBLO),"19.4935968042,-99.1433646477",GUSTAVO A. MADERO
SAN RAFAEL TICOMAN (BARR),"19.5144036216,-99.1218260415",GUSTAVO A. MADERO
ZONA ESCOLAR ORIENTE,"19.5397973225,-99.1425832842",GUSTAVO A. MADERO
6 DE JUNIO,"19.5506082067,-99.1258656187",GUSTAVO A. MADERO
TORRES DE SAN JUAN 1B (U HAB),"19.480765502,-99.0925914986",GUSTAVO A. MADERO
SAN FELIPE DE JESUS II,"19.4917077798,-99.0783023511",GUSTAVO A. MADERO
PROGRESO NACIONAL I,"19.5205683242,-99.1613274589",GUSTAVO A. MADERO
LA ESMERALDA II,"19.4860149861,-99.0860593938",GUSTAVO A. MADERO
CHIMALCOYOC,,TLALPAN
LA FORESTAL,"19.5628839926,-99.1312233106",GUSTAVO A. MADERO
GERTRUDIS SANCHEZ 3A SECCION,"19.4610165557,-99.1013573829",GUSTAVO A. MADERO
GUADALUPE VICTORIA,"19.5392436565,-99.1401016002",GUSTAVO A. MADERO
INFONAVIT (U HAB),"19.5160229859,-99.1414409779",GUSTAVO A. MADERO
INPI PICOS,"19.387625482,-99.1030275225",IZTACALCO
LOMAS DE SAN LORENZO I,"19.3158775442,-99.057708382",IZTAPALAPA
SANTA CRUZ MEYEHUALCO (U HAB) II,"19.3530622224,-99.0452254369",IZTAPALAPA
ERMITA ZARAGOZA (U HAB) II,"19.3670087102,-98.9969671911",IZTAPALAPA
ZENTLAPATL,"19.3527468788,-99.3082523044",CUAJIMALPA DE MORELOS
MANZANASTITLA,"19.3664358227,-99.2977105336",CUAJIMALPA DE MORELOS
SAN NICOLAS TOTOLAPAN (PBLO),"19.297057085,-99.2448441057",LA MAGDALENA CONTRERAS
ATENOR SALAS,"19.4031449671,-99.1478617284",BENITO JUAREZ
DESARROLLO URBANO QUETZALCOATL  III,"19.3230263857,-99.0402437971",IZTAPALAPA
RENOVACION,"19.3673888642,-99.0494396604",IZTAPALAPA
PARAJE SAN JUAN,"19.341803016,-99.0719968642",IZTAPALAPA
SAN JUAN 2A AMPLIACIN (PJE),"19.3377741297,-99.0701024596",IZTAPALAPA
SAN LORENZO 870 (U HAB),"19.3326993802,-99.0744059315",IZTAPALAPA
PALMITAS,"19.3348864803,-99.0261343678",IZTAPALAPA
LEYES DE REFORMA 2A SECCION,"19.36835084,-99.0631958507",IZTAPALAPA
LA ESPERANZA,"19.3104783947,-99.0784679657",IZTAPALAPA
LA ERA,"19.3397206516,-99.0546620929",IZTAPALAPA
MODELO (U),"19.3638749166,-99.1252885217",IZTAPALAPA
PARAISO (AMPL),"19.3774930672,-99.0324718205",IZTAPALAPA
EL ROSARIO,"19.3017816802,-99.065523517",IZTAPALAPA
JUSTO SIERRA,"19.3637206343,-99.1348383836",IZTAPALAPA
CARLOS HANK GONZALEZ,"19.3316358615,-99.0474705307",IZTAPALAPA
CUCHILLAS DEL MORAL (U HAB),"19.3851804831,-99.0726758269",IZTAPALAPA
DEL VALLE V,"19.3758998445,-99.1688277207",BENITO JUAREZ
MEXICO NUEVO,"19.4524500777,-99.2039131922",MIGUEL HIDALGO
ANAHUAC I,"19.4471950354,-99.1756475978",MIGUEL HIDALGO
CTM IX CULHUACAN ZONA 29-30 (U HAB),"19.3131246276,-99.1024460632",COYOACAN
CTM V CULHUACAN (U HAB),"19.3309863021,-99.1134928561",COYOACAN
JOYAS DEL PEDREGAL (FRACC),"19.3055535681,-99.157945548",COYOACAN
LOS GIRASOLES I,"19.3043519756,-99.1201458029",COYOACAN
LOS GIRASOLES III,"19.3076347445,-99.1263293209",COYOACAN
LOS REYES (PBLO),"19.3361455883,-99.1553487557",COYOACAN
PETROLERA TAXQUEA,"19.3384918183,-99.1326920059",COYOACAN
VILLAS DEL PEDREGAL (U HAB),"19.3045209336,-99.1747611275",COYOACAN
ALIANZA POPULAR REVOLUCIONARIA PONIENTE (U HAB),"19.3143103282,-99.121986968",COYOACAN
PEDREGAL DE STO DOMINGO I,"19.3347576651,-99.1707739223",COYOACAN
MONTE DE PIEDAD,"19.3439280724,-99.1731117868",COYOACAN
EX EJIDO SAN FRANCISCO CULHUACAN II,"19.3309153045,-99.1262376944",COYOACAN
EL ARENAL 2A SECCION,"19.4231462044,-99.0568604911",VENUSTIANO CARRANZA
MICHOACANA,"19.446776495,-99.1147705564",VENUSTIANO CARRANZA
MOCTEZUMA 1A SECCION,"19.4281544125,-99.1060130959",VENUSTIANO CARRANZA
PINO (U HAB),"19.4097862375,-99.0987437649",VENUSTIANO CARRANZA
JARDIN BALBUENA III,"19.4130018736,-99.1049634006",VENUSTIANO CARRANZA
MOCTEZUMA 2A SECCION II,"19.431452146,-99.0942563288",VENUSTIANO CARRANZA
PENSADOR MEXICANO I,"19.4458811527,-99.0817664334",VENUSTIANO CARRANZA
SAN PEDRO DE LOS  PINOS,"19.3904318465,-99.1847606139",BENITO JUAREZ
NOCHE BUENA,"19.3806915127,-99.1788479191",BENITO JUAREZ
DEL VALLE II,"19.3923963454,-99.1669318787",BENITO JUAREZ
ALAMOS II,"19.3949010858,-99.1422306031",BENITO JUAREZ
ACUEDUCTO DE GUADALUPE (U HAB),"19.5271660235,-99.151136622",GUSTAVO A. MADERO
BENITO JUAREZ,"19.5324603854,-99.1394107345",GUSTAVO A. MADERO
ARAGON LA VILLA (ARAGON),"19.4794876647,-99.1139779988",GUSTAVO A. MADERO
CAPULTITLAN,"19.4783660751,-99.1336512931",GUSTAVO A. MADERO
EL OLIVO,"19.4736469033,-99.0867100776",GUSTAVO A. MADERO
EL ARBOLILLO,"19.5362003777,-99.1410909279",GUSTAVO A. MADERO
EJIDOS SAN JUAN DE ARAGON 1A SECCION (U HAB),"19.4691248271,-99.0925700616",GUSTAVO A. MADERO
EL ARBOLILLO 3 (U HAB),"19.5378807204,-99.144474561",GUSTAVO A. MADERO
GUADALUPE PROLETARIA,"19.5217519787,-99.1557339411",GUSTAVO A. MADERO
LA PATERA-CONDOMODULOS (U HAB),"19.5032618872,-99.1532607566",GUSTAVO A. MADERO
LA ESMERALDA (U HAB),"19.4893850794,-99.0852913474",GUSTAVO A. MADERO
JAIME S EMILIANO G,"19.5476157893,-99.1348013639",GUSTAVO A. MADERO
MALACATES,"19.574838282,-99.1347365738",GUSTAVO A. MADERO
MALACATES (AMPL),"19.5813480751,-99.126090133",GUSTAVO A. MADERO
SAN ANTONIO,"19.5600589165,-99.1375782677",GUSTAVO A. MADERO
SAN SALVADOR CUAUHTENCO (PBLO),"19.1918468052,-99.0947381285",MILPA ALTA
VALLEJO I,"19.4678259013,-99.1352696922",GUSTAVO A. MADERO
MIGUEL HIDALGO,"19.287727105,-99.1857504677",TLALPAN
ORIENTE (AMPL),"19.2522556216,-99.1611026942",TLALPAN
SOLIDARIDAD NACIONAL,"19.5343297882,-99.1534977393",GUSTAVO A. MADERO
TORRES LINDAVISTA (FRACC),"19.5103763285,-99.1447365805",GUSTAVO A. MADERO
TORRES DE QUIROGA (U HAB),"19.4909682357,-99.0957132813",GUSTAVO A. MADERO
25 DE JULIO,"19.4960116394,-99.0809760294",GUSTAVO A. MADERO
SAN LORENZO HUIPULCO,"19.2953427125,-99.1496338018",TLALPAN
LA MAGUEYERA,"19.2444653708,-99.1458133824",TLALPAN
TORRES DE PADIERNA,"19.2812890776,-99.2282534488",TLALPAN
BELISARIO DOMINGUEZ,"19.2895041108,-99.1555858169",TLALPAN
SAN MATEO XALPA (PBLO),"19.2309201778,-99.1202999882",XOCHIMILCO
SAN JOSE OBRERO,"19.2328870775,-99.0739345109",XOCHIMILCO
SAN JOSE ZACATEPEC,"19.2391239509,-99.1242117128",XOCHIMILCO
SAN LORENZO (BARR),"19.2718995946,-99.0775263646",XOCHIMILCO
EJIDOS DE SAN PEDRO MARTIR II (SUR),"19.2674469272,-99.1588720532",TLALPAN
SAN MIGUEL ZAPOTITLA,"19.3106195548,-99.0368153907",TLAHUAC
LA DRAGA,"19.2803161526,-99.0447195827",TLAHUAC
JARDINES DEL LLANO-U.H. VILLA TLATEMPA,"19.2305386596,-98.9889766528",TLAHUAC
OJO DE AGUA,"19.2895376558,-99.0128027696",TLAHUAC
EL ROSARIO C (U HAB),"19.5061582927,-99.2024080944",AZCAPOTZALCO
REAL DEL MONTE,"19.3962449738,-99.2005406862",ALVARO OBREGON
PRIVADA CENTENARIO,"19.3613578873,-99.2296764511",ALVARO OBREGON
PONCIANO ARRIAGA,"19.3557521942,-99.2258081374",ALVARO OBREGON
LOMAS DE BECERRA,"19.3846223125,-99.2170503248",ALVARO OBREGON
LOMAS DE TARANGO,"19.3636307538,-99.2152227218",ALVARO OBREGON
LA PRESA SECCION HORNOS,"19.3821126616,-99.2157510148",ALVARO OBREGON
LAS CUEVITAS,"19.3867872679,-99.2257695407",ALVARO OBREGON
ARVIDE,"19.3816663945,-99.2033049768",ALVARO OBREGON
ATLAMAXAC,"19.356137404,-99.2473462677",ALVARO OBREGON
LOMAS DE SANTA FE II,"19.3681305389,-99.2586953256",ALVARO OBREGON
VILLA VERDUN,"19.3386314168,-99.2566279372",ALVARO OBREGON
BUENAVISTA I,"19.4496135645,-99.1495963852",CUAUHTEMOC
LA CASCADA,"19.3693392206,-99.2023092562",ALVARO OBREGON
ESTADO DE HIDALGO (AMPL),"19.3977146169,-99.2090544967",ALVARO OBREGON
DE TARANGO (RCNDA),"19.3625360628,-99.2222122971",ALVARO OBREGON
PANTITLAN V,"19.4061588528,-99.0603053018",IZTACALCO
SANTA ANITA,"19.4011782809,-99.1208642651",IZTACALCO
SAN ANTONIO (FRACC),"19.4801751682,-99.2048817973",AZCAPOTZALCO
SAN RAFAEL,"19.4864549617,-99.1879903928",AZCAPOTZALCO
NUEVA ESPAA,"19.4981253187,-99.187192041",AZCAPOTZALCO
POTRERO DEL LLANO,"19.4746631596,-99.1606741802",AZCAPOTZALCO
SAN SALVADOR XOCHIMANCA,"19.459556239,-99.1735662765",AZCAPOTZALCO
MONTE ALTO,"19.4799641051,-99.1563280316",AZCAPOTZALCO
SAN PEDRO XALPA (AMPL) II,"19.475910231,-99.217040816",AZCAPOTZALCO
HACIENDA DE GUADALUPE CHIMALISTAC,"19.3496527216,-99.1825076056",ALVARO OBREGON
PRO HOGAR II,"19.4763536374,-99.1559695345",AZCAPOTZALCO
VILLAS AZCAPOTZALCO (U HAB),"19.4897813103,-99.192023082",AZCAPOTZALCO
LOMAS DE SAN LORENZO II,"19.3207558072,-99.0671739519",IZTAPALAPA
DESARROLLO URBANO QUETZALCOATL  I,"19.3330659428,-99.0403002135",IZTAPALAPA
SANTA MARIA AZTAHUACAN (EJ) II,"19.3498463725,-99.0329677228",IZTAPALAPA
XALPA I,"19.327467101,-99.0151860423",IZTAPALAPA
AMADO NERVO,"19.3682826635,-99.2951026071",CUAJIMALPA DE MORELOS
JUAN ESCUTIA I,"19.3955261824,-99.0506636432",IZTAPALAPA
SAN JUAN XALPA I,"19.3374203844,-99.0834568076",IZTAPALAPA
EJERCITO DE ORIENTE (U HAB) I,"19.3692777627,-99.0260488464",IZTAPALAPA
CONSTITUCION DE 1917 I,"19.349580518,-99.0642489103",IZTAPALAPA
CERRO DE LA ESTRELLA II,"19.3216207665,-99.0773979656",IZTAPALAPA
9 1/2 - FRANCISCO VILLA (EJERCITO CONSTITUCIONALISTA) (CONJ HAB),"19.376865927,-99.0507709107",IZTAPALAPA
PARAISO,"19.377588659,-99.0314237577",IZTAPALAPA
SAN ANTONIO (BARR),"19.3058732472,-99.0732105543",IZTAPALAPA
SANTA CRUZ VII (U HAB),"19.3135332263,-99.0460205345",IZTAPALAPA
MIRAVALLE,"19.3314816242,-98.9958497843",IZTAPALAPA
LA PLANTA,"19.2942504506,-99.0638770839",IZTAPALAPA
LOMAS ESTRELLA 1A SECC (FRACC),"19.3245953782,-99.0943510809",IZTAPALAPA
MEXICALTZINGO (PBLO),"19.3582154327,-99.1200000659",IZTAPALAPA
NORMA ISSSTE (U HAB),"19.3636996046,-99.0767439105",IZTAPALAPA
JACARANDAS,"19.3462774489,-99.0517558727",IZTAPALAPA
ESCUADRON 201,"19.3635962256,-99.1122664972",IZTAPALAPA
GUELATAO DE JUAREZ II (U HAB),"19.38406344,-99.0445801859",IZTAPALAPA
JESUS DEL MONTE,"19.366427722,-99.2937597683",CUAJIMALPA DE MORELOS
LOMAS DE SAN BERNABE (AMPL),"19.3073287289,-99.2701904302",LA MAGDALENA CONTRERAS
PUEBLO NUEVO BAJO,"19.306936172,-99.245343565",LA MAGDALENA CONTRERAS
PLAZUELA DEL PEDREGAL,"19.3034541139,-99.2322602219",LA MAGDALENA CONTRERAS
ACTIPAN,"19.3698819161,-99.1781670524",BENITO JUAREZ
EL SANTUARIO (AMPL),"19.3425019166,-99.0896660806",IZTAPALAPA
CACAMA,"19.3591109342,-99.1254417217",IZTAPALAPA
EL EDEN,"19.3646935455,-99.0132754232",IZTAPALAPA
"EJTO CONSTITUCIONALISTA, SUPERMANZANA II ( U HAB)","19.386478461,-99.0567783565",IZTAPALAPA
CABEZA DE JUAREZ III (U HAB),"19.3833007469,-99.0416901386",IZTAPALAPA
CABEZA DE JUAREZ I (U HAB),"19.3849902453,-99.0440799735",IZTAPALAPA
GRANADA,"19.4399132456,-99.1931329781",MIGUEL HIDALGO
VALLE GOMEZ,"19.4568685341,-99.1190095588",VENUSTIANO CARRANZA
PUEBLA,"19.4093895139,-99.0822714288",VENUSTIANO CARRANZA
MICHOACANA (AMPL),"19.448323917,-99.1130761866",VENUSTIANO CARRANZA
TRES MOSQUETEROS,"19.4406265261,-99.1064215208",VENUSTIANO CARRANZA
EMILIANO ZAPATA (U HAB),"19.4328122694,-99.120127738",VENUSTIANO CARRANZA
POPOTLA II,"19.4525968974,-99.1794381102",MIGUEL HIDALGO
COUNTRY CLUB,"19.3512447243,-99.1403710755",COYOACAN
EL CARACOL,"19.3044798745,-99.1636833181",COYOACAN
INTEGRACION LATINOAMERICANA (U HAB),"19.338313294,-99.1793213089",COYOACAN
EX EJIDO SAN FRANCISCO CULHUACAN I,"19.3319039347,-99.1290826887",COYOACAN
CTM IXA CULHUACAN (U HAB),"19.3109760691,-99.1060356445",COYOACAN
EL PARQUE DE COYOACAN (FRACC),"19.3111477718,-99.1308132833",COYOACAN
STUNAM CULHUACAN (U HAB),"19.3211662806,-99.1022490653",COYOACAN
SAN MATEO (BARR),"19.3519012702,-99.1482796852",COYOACAN
SANTA URSULA COYOACAN,"19.303627617,-99.1725737917",COYOACAN
CTM IX CULHUACAN 32-33 (U HAB),"19.3095033491,-99.102839847",COYOACAN
AVIACION CIVIL (AMPL),"19.4117450877,-99.0765216798",VENUSTIANO CARRANZA
ADOLFO RUIZ CORTINES II,"19.31784374,-99.1550720386",COYOACAN
EL ARENAL 1A SECCION,"19.4250609099,-99.0633202592",VENUSTIANO CARRANZA
AERONAUTICA MILITAR,"19.4208650922,-99.1157518113",VENUSTIANO CARRANZA
IGNACIO ZARAGOZA II,"19.4117785299,-99.087917303",VENUSTIANO CARRANZA
20 DE NOVIEMBRE (AMPL),"19.4436366242,-99.1145123602",VENUSTIANO CARRANZA
LOMAS DE REFORMA,"19.4016815485,-99.2354719599",MIGUEL HIDALGO
DANIEL GARZA (AMPL),"19.4092184712,-99.1938392453",MIGUEL HIDALGO
IGNACIO MANUEL ALTAMIRANO,"19.4631440514,-99.1968280035",MIGUEL HIDALGO
LEGARIA,"19.4555305454,-99.1930482732",MIGUEL HIDALGO
LEGARIA (U HAB),"19.450020036,-99.2010760751",MIGUEL HIDALGO
ADOLFO LOPEZ MATEOS,"19.4200520013,-99.0721839543",VENUSTIANO CARRANZA
ADOLFO RUIZ CORTINES I,"19.3209669132,-99.1473929726",COYOACAN
PEDREGAL DE STO DOMINGO III,"19.3314325978,-99.1642525825",COYOACAN
PASEOS DE TAXQUEA I,"19.3482555644,-99.1235111808",COYOACAN
PROGRESISTA,"19.4360921322,-99.1093454587",VENUSTIANO CARRANZA
SEVILLA,"19.4107331904,-99.1231126188",VENUSTIANO CARRANZA
MIGUEL HIDALGO,"19.4359898482,-99.1068363017",VENUSTIANO CARRANZA
TORRE BLANCA,"19.4574907732,-99.1951872404",MIGUEL HIDALGO
UN HOGAR PARA NOSOTROS,"19.4484020023,-99.1691848908",MIGUEL HIDALGO
PENSIL SUR,"19.4465001414,-99.1971835825",MIGUEL HIDALGO
ALVARO OBREGON,"19.4127921222,-99.1189402024",VENUSTIANO CARRANZA
JAMAICA,"19.4069270279,-99.1240733219",VENUSTIANO CARRANZA
EMILIO CARRANZA,"19.4493647246,-99.1206942134",VENUSTIANO CARRANZA
CTM VIII CULHUACAN (U HAB),"19.3161921597,-99.1029308537",COYOACAN
INFONAVIT CULHUACAN ZONA 2 (U HAB),"19.3298781623,-99.119288303",COYOACAN
CROC CULHUACAN SECC 6 (U HAB),"19.3275552317,-99.1215030369",COYOACAN
LAS CAMPANAS,"19.3094554092,-99.1211756346",COYOACAN
IMAN,"19.3079335787,-99.1664945681",COYOACAN
LOS OLIVOS (FRACC),"19.3136569749,-99.1319122147",COYOACAN
PRESIDENTES EJIDALES PRIMERA SECCION,"19.3268052641,-99.1280417755",COYOACAN
MEDIA LUNA,"19.3018815416,-99.1602800264",COYOACAN
SAN DIEGO CHURUBUSCO,"19.3557844724,-99.1484440385",COYOACAN
SANTA MARTHA DEL SUR,"19.341178323,-99.1307254467",COYOACAN
CUCHILLA DEL TESORO,"19.4482466932,-99.0582996553",GUSTAVO A. MADERO
ARROYO GUADALUPE (U HAB),"19.5107529601,-99.1366136999",GUSTAVO A. MADERO
CAMINO A SAN JUAN DE ARAGON (PBLO),"19.4677286142,-99.0885162549",GUSTAVO A. MADERO
TRIUNFO DE LA REPUBLICA,"19.4916610267,-99.1097111581",GUSTAVO A. MADERO
CASAS ALEMAN (AMPL) II,"19.4788038645,-99.0873744277",GUSTAVO A. MADERO
VISTA HERMOSA,"19.548099968,-99.1224855548",GUSTAVO A. MADERO
VASCO DE QUIROGA,"19.4946542586,-99.093929805",GUSTAVO A. MADERO
TORRES DE SAN JUAN (U HAB),"19.4788279123,-99.0930244645",GUSTAVO A. MADERO
NARCISO BASSOLS (U HAB),"19.4561487814,-99.0568871261",GUSTAVO A. MADERO
SAN JUAN DE ARAGON 3A SECCION (U HAB) I,"19.4512918229,-99.0738891449",GUSTAVO A. MADERO
PROGRESO NACIONAL (AMPL),"19.5160246263,-99.1596420642",GUSTAVO A. MADERO
SCT (U HAB),"19.5076961069,-99.1567486454",GUSTAVO A. MADERO
LINDAVISTA I,"19.4899449462,-99.1316707528",GUSTAVO A. MADERO
NUEVA ATZACOALCO II,"19.4990841913,-99.0860029094",GUSTAVO A. MADERO
PROVIDENCIA III,"19.4865865613,-99.0720145789",GUSTAVO A. MADERO
MA ESTHER ZUNO DE ECHEVERRIA-TLALPUENTE,"19.2477346558,-99.1881694925",TLALPAN
LA LIBERTAD - IXTLAHUACA,"19.191058527,-99.1477347738",TLALPAN
COAPA-VILLA CUEMANCO,"19.2933791535,-99.110747105",TLALPAN
TEZONTITLA - EL CALVARIO (AMPL),"19.2078297437,-99.1474354869",TLALPAN
TENORIOS INFONAVIT 1 Y 2 (U HAB),"19.2968405485,-99.1175309381",TLALPAN
SANTA CRUZ ACALPIXCA (PBLO),"19.2462934588,-99.0748419028",XOCHIMILCO
NATIVITAS LA JOYA (AMPL),"19.2286757421,-99.0893558006",XOCHIMILCO
SAN ESTEBAN (BARR),"19.2626101265,-99.0965268172",XOCHIMILCO
NATIVITAS (U HAB),"19.2470852603,-99.1063659768",XOCHIMILCO
SAN BARTOLO EL CHICO,"19.2830960504,-99.1305395963",XOCHIMILCO
PLAN DE AYALA,"19.2379561966,-99.1494168225",TLALPAN
MIRADOR 2A y 3A SECC,"19.270160207,-99.1840293488",TLALPAN
POPULAR STA TERESA,"19.3009292385,-99.2239950398",TLALPAN
NUEVA ORIENTAL COAPA-EX HACIENDA COAPA,"19.2972755131,-99.1282801056",TLALPAN
MIRADOR II,"19.2700756077,-99.2231936144",TLALPAN
NIO JESUS (BARR),"19.2867130897,-99.161005277",TLALPAN
SAN JUAN DE ARAGON 2A SECCION (U HAB) I,"19.4510318992,-99.0866516725",GUSTAVO A. MADERO
ZONA ESCOLAR II,"19.541645865,-99.147497208",GUSTAVO A. MADERO
SAN JUAN DE ARAGON 7 SECC (U HAB) II,"19.469460817,-99.0739759771",GUSTAVO A. MADERO
EL CARMEN,"19.2452198892,-99.0303102988",XOCHIMILCO
LA CAADA,"19.2402462159,-99.1200344536",XOCHIMILCO
ZAPOTE-LUIS DONALDO COLOSIO (U HABS),"19.2997242617,-99.1787040395",TLALPAN
SAN MIGUEL TOXIAC,"19.2073650249,-99.1549404211",TLALPAN
JARDINES COAPA-BELISARIO DOMINGUEZ,"19.3042902117,-99.1332519855",TLALPAN
CONJUNTO URBANO CUEMANCO (U HAB),"19.2967062919,-99.1053436493",TLALPAN
EL DIVISADERO,"19.2532810398,-99.1588743622",TLALPAN
JARDINES TECMA,"19.3876199869,-99.1169158535",IZTACALCO
SANTA CRUZ ACAYUCAN (PBLO),"19.475782958,-99.1945622852",AZCAPOTZALCO
2DA  JALALPA TEPITO (AMPL),"19.3756547081,-99.2332071969",ALVARO OBREGON
ESTADO DE HIDALGO_,"19.3644436827,-99.2416810868",ALVARO OBREGON
UNIDADES HABITACIONALES DE SANTA ANA PONIENTE II,"19.3033216123,-99.0440542325",TLAHUAC
CUITLHUAC 3 Y 4 (U HAB),"19.4721429293,-99.1714732851",AZCAPOTZALCO
DEL GAS (AMPL),"19.4666405444,-99.1576213654",AZCAPOTZALCO
SAN CLEMENTE,"19.3493092254,-99.2262178725",ALVARO OBREGON
VILLA SOLIDARIDAD,"19.3834015381,-99.2192923844",ALVARO OBREGON
TEPOPOTLA,"19.3621279201,-99.2517629911",ALVARO OBREGON
PASEO DE LAS LOMAS-SAN GABRIEL,"19.3771435537,-99.2573264619",ALVARO OBREGON
PRESIDENTES 2DA (AMPL),"19.3744547358,-99.2276117917",ALVARO OBREGON
LOS GAMITOS,"19.3790006818,-99.2385850001",ALVARO OBREGON
LOMAS DE SANTO DOMINGO,"19.3951820819,-99.2016220547",ALVARO OBREGON
LOMAS DE CENTENARIO (U HAB),"19.3567367098,-99.2350508973",ALVARO OBREGON
VICTORIA DE LAS DEMOCRACIAS,"19.4688810568,-99.1641295803",AZCAPOTZALCO
CANUTILLO(AGUASCALIENTES),"19.3623447369,-99.232435939",ALVARO OBREGON
AGUILAS PILARES,"19.3561666205,-99.2034085414",ALVARO OBREGON
LOS OLIVOS,"19.3013132281,-99.0585402645",TLAHUAC
PICOS IZTACALCO 1-A,"19.38929866,-99.1146413565",IZTACALCO
AGRICOLA ORIENTAL VII,"19.3878621558,-99.0679673232",IZTACALCO
JALALPA TEPITO,"19.3758735843,-99.2365782269",ALVARO OBREGON
EL BATAN,"19.3547272963,-99.2591508007",ALVARO OBREGON
XALPA III,"19.3391120386,-99.0179214223",IZTAPALAPA
SAN MIGUEL TEOTONGO IV,"19.333890511,-98.9880666033",IZTAPALAPA
REFORMA POLITICA II,"19.3392967272,-99.0325075315",IZTAPALAPA
JOSE LOPEZ PORTILLO II,"19.3081249002,-99.0804167633",IZTAPALAPA
LAS PEAS II,"19.3406086031,-99.0494780198",IZTAPALAPA
SANTA MARIA AZTAHUACAN (U HAB),"19.342653249,-99.0271540191",IZTAPALAPA
SAN SEBASTIAN TECOLOXTITLAN (PBLO),"19.3619395743,-99.0171436737",IZTAPALAPA
SANTA MARIA DEL MONTE,"19.3513042614,-99.0903253595",IZTAPALAPA
GUELATAO DE JUAREZ I (U HAB),"19.3866077402,-99.0426250128",IZTAPALAPA
LA JOYITA,"19.3758462405,-99.0263430593",IZTAPALAPA
PUENTE BLANCO,"19.3276263758,-99.0647173163",IZTAPALAPA
LOMAS DE SANTA CRUZ MEYEHUALCO,"19.3316923724,-99.0354584013",IZTAPALAPA
LOMAS ESTRELLA  III (U HAB),"19.3280793494,-99.0924871591",IZTAPALAPA
NA HAL TI (U HAB),"19.2884303165,-99.0708036753",IZTAPALAPA
CONSTITUCION DE 1917 II,"19.3488349341,-99.0581867616",IZTAPALAPA
VICENTE GUERRERO SUPER MANZANA 1 (U HAB),"19.3623749464,-99.0637802271",IZTAPALAPA
VICENTE GUERRERO SUPER MANZANA 2 (U HAB),"19.3616782799,-99.0594122073",IZTAPALAPA
CHINAMPAC DE JUAREZ I,"19.3774792776,-99.0571116088",IZTAPALAPA
VILLA DE CORTES,"19.3874817987,-99.1361888172",BENITO JUAREZ
NAVIDAD (GRANJAS DE NAVIDAD),"19.3739988605,-99.2853145838",CUAJIMALPA DE MORELOS
COLA DE PATO,"19.3047637255,-99.3423978855",CUAJIMALPA DE MORELOS
PALO ALTO (GRANJAS),"19.3832363217,-99.2544430478",CUAJIMALPA DE MORELOS
SAN BERNABE OCOTEPEC (PBLO),"19.314235069,-99.2575042019",LA MAGDALENA CONTRERAS
CUAUHTEMOC,"19.3200700913,-99.243255303",LA MAGDALENA CONTRERAS
TIERRA COLORADA,"19.2705437441,-99.2503025281",LA MAGDALENA CONTRERAS
CANANEA (U HAB),"19.2918680539,-99.0678381673",IZTAPALAPA
EL RODEO,"19.333341261,-99.0721043939",IZTAPALAPA
EJERCITO DE AGUA PRIETA,"19.3683176448,-99.0375659996",IZTAPALAPA
ERMITA,"19.3582712595,-99.1418219688",BENITO JUAREZ
MARIA DEL CARMEN,"19.375686937,-99.138181482",BENITO JUAREZ
RESIDENCIAL EMPERADORES,"19.3684249074,-99.1575186918",BENITO JUAREZ
PERIODISTA FRANCISCO ZARCO,"19.3824353393,-99.1462049415",BENITO JUAREZ
GUERRERO IV,"19.4404218952,-99.1422140732",CUAUHTEMOC
NONOALCO-TLATELOLCO (U HAB) III,"19.451696421,-99.1353568265",CUAUHTEMOC
DOCTORES II,"19.4198737194,-99.1508495556",CUAUHTEMOC
DOCTORES V,"19.4103772864,-99.1467901424",CUAUHTEMOC
ANAHUAC PERALITOS,"19.4489699,-99.1866904533",MIGUEL HIDALGO
BENITO JUAREZ (AMPL),"19.5340863075,-99.1341494242",GUSTAVO A. MADERO
DEL BOSQUE,"19.544807773,-99.1430748466",GUSTAVO A. MADERO
DM NACIONAL,"19.4756990621,-99.0957185773",GUSTAVO A. MADERO
SAN MARTIN XOCHINAHUAC (PBLO),"19.5030010543,-99.1911745201",AZCAPOTZALCO
NEXTENGO (BARR),"19.474310073,-99.188700231",AZCAPOTZALCO
